Mag,Lat,Long,Depth,Region,Status,CloserCity
4.5,2.50° S,77.76° W,10,Ecuador - Morona Santiago,M,"44.51km Macas,Morona Santiago"
3.2,0.95° N,79.55° W,5.2,Near Coast of Ecuador,M,"12.01km Esmeraldas,Esmeraldas"
3.4,0.32° N,80.65° W,10,Near Coast of Ecuador,M,"71.70km Pedernales,Manabi"
3.5,0.30° N,80.09° W,5.3,Near Coast of Ecuador,M,"26.15km Pedernales,Manabi"
3.6,2.01° S,80.84° W,2.2,Near Coast of Ecuador,M,"24.98km La Libertad,Santa Elena"
3.4,0.74° S,80.33° W,3.8,Near Coast of Ecuador,M,"16.66km San Vicente,Manabi"
3.2,0.72° S,80.33° W,7.2,Near Coast of Ecuador,M,"15.07km San Vicente,Manabi"
3.4,1.33° S,80.89° W,5.3,Near Coast of Ecuador,M,"26.46km Puerto Lopez,Manabi"
4.4,0.63° N,80.21° W,10,Near Coast of Ecuador,M,"20.94km Muisne,Esmeraldas"
3.6,1.05° S,79.35° W,89.9,Ecuador - Los Rios,M,"10.77km Valencia,Los Rios"
3.3,0.70° N,79.32° W,10,Ecuador - Esmeraldas,M,"44.28km Quininde,Esmeraldas"
3.8,0.17° S,80.48° W,7.9,Near Coast of Ecuador,M,"23.88km Jama,Manabi"
3.5,0.58° N,79.77° W,18.1,Near Coast of Ecuador,M,"28.22km Muisne,Esmeraldas"
3.3,0.19° S,80.61° W,10,Near Coast of Ecuador,M,"38.75km Jama,Manabi"
3.5,0.56° N,80.00° W,4.1,Ecuador - Esmeraldas,M,"6.14km Muisne,Esmeraldas"
3.5,0.32° N,80.63° W,10,Near Coast of Ecuador,A,"69.89km Pedernales,Manabi"
3.8,3.31° S,80.05° W,26.4,Ecuador - El Oro,M,"11.61km Machala,El Oro"
4.5,0.95° S,80.54° W,4,Near Coast of Ecuador,M,"10.42km Rocafuerte,Manabi"
4.4,1.00° S,80.57° W,4.1,Near Coast of Ecuador,M,"9.04km Jaramijo,Manabi"
3.5,0.14° S,80.45° W,3.9,Near Coast of Ecuador,M,"22.06km Jama,Manabi"
4,3.94° S,79.76° W,11.3,Ecuador - Loja,M,"17.52km Catacocha,Loja"
3.5,0.37° N,80.84° W,10,Near Coast of Ecuador,M,"90.47km Jama,Manabi"
4.2,0.33° N,80.77° W,10,Near Coast of Ecuador,M,"81.77km Jama,Manabi"
3.9,0.27° N,80.77° W,18.6,Near Coast of Ecuador,M,"77.33km Jama,Manabi"
4.1,0.99° N,79.68° W,10,Near Coast of Ecuador,M,"4.14km Esmeraldas,Esmeraldas"
3.6,0.16° S,80.67° W,9.5,Near Coast of Ecuador,M,"45.67km Jama,Manabi"
