Mag,Latitude,Longitude,CloserCity,Depth,Region,categoryMag,categoryDepth,Cluster,
326,0.62,-80.24,8.2,3," Muisne,Esmeraldas",Near Coast of Ecuador,1.0 - 3.0,0,
329,0.61,-80.2,7.6,4.9," Muisne,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
337,0.85,-79.89,11.7,2.6," Atacames,Esmeraldas",Esmeraldas,1.0 - 3.0,0,
343,1.05,-79.69,16.3,3," Esmeraldas,Esmeraldas",Near Coast of Ecuador,1.0 - 3.0,0,
355,0.62,-80.02,10,3.6," Muisne,Esmeraldas",Esmeraldas,3.0 - 3.9,0,
369,1.03,-79.86,12.2,3.4," Atacames,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
387,0.41,-78.95,77.9,3.7," Quininde,Esmeraldas",Esmeraldas,3.0 - 3.9,0,
395,1.15,-79.65,1.6,3.2," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
397,0.99,-79.53,1,3.3," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
403,1.07,-79.93,4.2,3.2," Atacames,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
405,0.87,-79.83,2,3.1," Atacames,Esmeraldas",Esmeraldas,3.0 - 3.9,0,
411,1.05,-79.95,6.2,3.5," Atacames,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
412,0.92,-79.84,6.8,3.7," Atacames,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
413,0.95,-79.84,5.7,3.8," Atacames,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
414,1,-79.92,4.9,3.5," Atacames,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
417,1.07,-79.98,5,3.8," Atacames,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
418,0.96,-79.82,4.1,4.9," Atacames,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
419,1.03,-79.95,7.7,4.2," Atacames,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
420,0.99,-79.8,2.4,3.6," Atacames,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
422,1.1,-79.99,4.8,4.3," Atacames,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
423,1.01,-79.88,9.2,3," Atacames,Esmeraldas",Near Coast of Ecuador,1.0 - 3.0,0,
424,1.08,-79.76,5.4,3.4," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
428,0.76,-79.74,3.1,3.6," Atacames,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
429,1.03,-79.84,8.5,3.9," Atacames,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
430,1.1,-79.86,1.9,4.2," Atacames,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
431,0.98,-79.8,10,3.9," Atacames,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
