"Mag","Depth","Latitude","Longitude","CloserCity","Region","categoryMag","categoryDepth","cluster"
"220",3.2,6,0.64,-80.18," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"225",3.5,6.3,0.92,-79.95," Atacames,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"227",3.1,16.3,0.19,-80.12," Pedernales,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"230",3.6,9.4,0.62,-79.88," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"235",3.5,10,0.86,-79.51," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"236",3.5,10,0.93,-79.35," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"237",4.5,10,0.95,-79.46," Esmeraldas,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"241",3.8,10,0.96,-79.49," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"242",3.4,10,0.91,-79.43," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"272",3.5,10,0.92,-79.47," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"274",3.5,5,1.07,-79.59," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"276",3.7,7.9,0.77,-79.79," Atacames,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"277",4.2,4.4,0.23,-80.01," Pedernales,Manabi","Manabi","4.0 - 4.9","< 60",1
"278",3.5,10,0.94,-79.56," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"280",6.7,17.2,0.43,-80.01," Muisne,Esmeraldas","Near Coast of Ecuador","6.0 - 6.9","< 60",1
"281",6.9,20.8,0.47,-79.82," Muisne,Esmeraldas","Near Coast of Ecuador","6.0 - 6.9","< 60",1
"285",3.8,3.6,0.92,-79.58," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"286",3.9,10,0.88,-79.64," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"289",3.4,3.5,0.96,-79.5," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"291",3,3.7,0.98,-79.5," Esmeraldas,Esmeraldas","Near Coast of Ecuador","1.0 - 3.0","< 60",1
"316",4.8,23.2,0.75,-79.25," Esmeraldas,Esmeraldas","Esmeraldas","4.0 - 4.9","< 60",1
"323",3.6,9,0.62,-80.11," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"326",3,8.2,0.62,-80.24," Muisne,Esmeraldas","Near Coast of Ecuador","1.0 - 3.0","< 60",1
"329",4.9,7.6,0.61,-80.2," Muisne,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"337",2.6,11.7,0.85,-79.89," Atacames,Esmeraldas","Esmeraldas","1.0 - 3.0","< 60",1
"343",3,16.3,1.05,-79.69," Esmeraldas,Esmeraldas","Near Coast of Ecuador","1.0 - 3.0","< 60",1
"355",3.6,10,0.62,-80.02," Muisne,Esmeraldas","Esmeraldas","3.0 - 3.9","< 60",1
"369",3.4,12.2,1.03,-79.86," Atacames,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"387",3.7,77.9,0.41,-78.95," Quininde,Esmeraldas","Esmeraldas","3.0 - 3.9","60 - 300",1
"395",3.2,1.6,1.15,-79.65," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"397",3.3,1,0.99,-79.53," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"403",3.2,4.2,1.07,-79.93," Atacames,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"405",3.1,2,0.87,-79.83," Atacames,Esmeraldas","Esmeraldas","3.0 - 3.9","< 60",1
"411",3.5,6.2,1.05,-79.95," Atacames,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"412",3.7,6.8,0.92,-79.84," Atacames,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"413",3.8,5.7,0.95,-79.84," Atacames,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"414",3.5,4.9,1,-79.92," Atacames,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"417",3.8,5,1.07,-79.98," Atacames,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"418",4.9,4.1,0.96,-79.82," Atacames,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"419",4.2,7.7,1.03,-79.95," Atacames,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"420",3.6,2.4,0.99,-79.8," Atacames,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"422",4.3,4.8,1.1,-79.99," Atacames,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"423",3,9.2,1.01,-79.88," Atacames,Esmeraldas","Near Coast of Ecuador","1.0 - 3.0","< 60",1
"424",3.4,5.4,1.08,-79.76," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"428",3.6,3.1,0.76,-79.74," Atacames,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"429",3.9,8.5,1.03,-79.84," Atacames,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"430",4.2,1.9,1.1,-79.86," Atacames,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"431",3.9,10,0.98,-79.8," Atacames,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"432",3.9,5,1.03,-79.85," Atacames,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"433",3.9,4.1,1.05,-79.88," Atacames,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"434",4.2,3.5,1.06,-79.86," Atacames,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"436",3.4,14.7,0.98,-79.86," Atacames,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"437",4,2.7,1.08,-79.85," Atacames,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"438",4.3,5,1.04,-79.85," Atacames,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"442",4.5,1.5,0.97,-79.77," Esmeraldas,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"443",3.9,7.3,0.98,-79.95," Atacames,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"444",3.8,7.8,1.08,-79.95," Atacames,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"445",3.6,8.6,0.95,-79.87," Atacames,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"446",4.2,3.1,1.06,-79.89," Atacames,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"447",4,2.8,1.07,-79.92," Atacames,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"448",4.4,5.1,1.07,-79.94," Atacames,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"449",3.3,7.2,1.04,-79.86," Atacames,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"450",3.6,2.8,1.07,-79.85," Atacames,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"451",4.8,12.4,0.94,-79.65," Esmeraldas,Esmeraldas","Esmeraldas","4.0 - 4.9","< 60",1
"452",5.1,5.3,1,-79.95," Atacames,Esmeraldas","Near Coast of Ecuador","5.0 - 5.9","< 60",1
"457",3.4,7.8,1.08,-79.92," Atacames,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"458",3.6,6.1,1.14,-79.98," Atacames,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"462",3.5,11.2,0.93,-79.74," Esmeraldas,Esmeraldas","Esmeraldas","3.0 - 3.9","< 60",1
"463",4.2,4.5,1.02,-79.88," Atacames,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"470",3.5,7.3,0.99,-79.82," Atacames,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"472",3.2,6.3,1.07,-79.98," Atacames,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"475",3.2,9.2,0.88,-79.7," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"476",2.9,12,0.82,-79.82," Atacames,Esmeraldas","Esmeraldas","1.0 - 3.0","< 60",1
"481",3.2,5.7,0.86,-79.68," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"482",5.8,6.4,0.93,-79.84," Atacames,Esmeraldas","Near Coast of Ecuador","5.0 - 5.9","< 60",1
"484",3.3,9,0.98,-79.7," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"485",3.3,9.7,0.95,-79.9," Atacames,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"488",3.6,0.4,0.68,-79.74," Atacames,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"489",5.2,2.9,0.65,-80.09," Muisne,Esmeraldas","Near Coast of Ecuador","5.0 - 5.9","< 60",1
"492",2.8,10.4,1,-79.99," Atacames,Esmeraldas","Near Coast of Ecuador","1.0 - 3.0","< 60",1
"503",3.7,4,1,-79.26," Esmeraldas,Esmeraldas","Esmeraldas","3.0 - 3.9","< 60",1
"506",5.7,9.1,0.74,-79.77," Atacames,Esmeraldas","Near Coast of Ecuador","5.0 - 5.9","< 60",1
"522",4.7,18.6,0.48,-79.92," Muisne,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"523",5,11.2,0.43,-79.91," Muisne,Esmeraldas","Near Coast of Ecuador","5.0 - 5.9","< 60",1
"527",5.1,5,0.96,-79.85," Atacames,Esmeraldas","Near Coast of Ecuador","5.0 - 5.9","< 60",1
"528",5.1,4.7,0.96,-79.82," Atacames,Esmeraldas","Near Coast of Ecuador","5.0 - 5.9","< 60",1
"543",3.6,3,0.6,-80.07," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"552",3.6,9.2,0.87,-79.76," Atacames,Esmeraldas","Esmeraldas","3.0 - 3.9","< 60",1
"558",3.6,10.8,0.73,-79.63," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"560",3.9,6.7,0.65,-80.05," Muisne,Esmeraldas","Esmeraldas","3.0 - 3.9","< 60",1
"562",4,8.7,0.63,-80.15," Muisne,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"576",3.1,12.2,0.9,-79.53," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"577",3.8,5.2,0.18,-80.09," Pedernales,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"582",3.2,10,0.95,-79.53," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"588",3.2,10,1.02,-79.51," Esmeraldas,Esmeraldas","Esmeraldas","3.0 - 3.9","< 60",1
"599",3.8,9.5,1.36,-79.61," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"604",4.1,5.1,0.95,-79.49," Esmeraldas,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"605",3.8,4.3,0.92,-79.47," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"606",3.5,10,0.78,-78.97," San Lorenzo,Esmeraldas","Esmeraldas","3.0 - 3.9","< 60",1
"608",3.4,3.9,0.88,-79.72," Esmeraldas,Esmeraldas","Esmeraldas","3.0 - 3.9","< 60",1
"616",3.4,1.9,0.92,-79.44," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"625",3.7,3.1,1.38,-79.27," San Lorenzo,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"628",3.7,10,0.62,-80.25," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"631",3.5,6.8,0.55,-79.95," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"633",4.1,31.1,0.57,-79.21," Quininde,Esmeraldas","Esmeraldas","4.0 - 4.9","< 60",1
"636",4.2,8.1,0.25,-80.01," Pedernales,Manabi","Manabi","4.0 - 4.9","< 60",1
"637",3.7,14.4,0.88,-79.77," Atacames,Esmeraldas","Esmeraldas","3.0 - 3.9","< 60",1
"658",3.5,28.3,1.18,-78.84," San Lorenzo,Esmeraldas","Esmeraldas","3.0 - 3.9","< 60",1
"659",3.9,5.8,0.61,-80.09," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"662",3.6,5.8,0.61,-80.07," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"672",3.9,5.8,0.63,-80.06," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"674",4,5.7,0.93,-79.7," Esmeraldas,Esmeraldas","Esmeraldas","4.0 - 4.9","< 60",1
"675",3.6,2.4,0.67,-80.12," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"718",3.3,4.2,1.26,-79.7," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"723",3.1,6.1,1.06,-79.94," Atacames,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"725",4.1,74.6,1.34,-78.74," San Lorenzo,Esmeraldas","Esmeraldas","4.0 - 4.9","60 - 300",1
"727",2.9,26.8,1.02,-79.51," Esmeraldas,Esmeraldas","Near Coast of Ecuador","1.0 - 3.0","< 60",1
"728",5.5,8,0.76,-79.75," Atacames,Esmeraldas","Esmeraldas","5.0 - 5.9","< 60",1
"729",3.9,29.4,1.25,-79.65," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"734",4.3,4.5,0.58,-80.17," Muisne,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"735",3.7,9.2,0.59,-80.27," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"736",3.6,11.4,0.61,-80.2," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"740",3,12.1,1.03,-79.95," Atacames,Esmeraldas","Near Coast of Ecuador","1.0 - 3.0","< 60",1
"742",3.5,8,0.6,-80.11," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"743",3.2,10,1.16,-79.5," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"749",3.7,10,1.24,-79.34," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"753",4.5,15.6,1.06,-79.68," Esmeraldas,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"756",3.6,7.4,1.24,-79.81," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"779",3.6,9.9,0.32,-79.95," Pedernales,Manabi","Esmeraldas","3.0 - 3.9","< 60",1
"808",5,6.9,1.15,-79.68," Esmeraldas,Esmeraldas","Near Coast of Ecuador","5.0 - 5.9","< 60",1
"822",4.5,7.5,0.62,-80.08," Muisne,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"824",4.5,7.2,0.6,-80.13," Muisne,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"830",3.3,5.9,0.62,-79.96," Muisne,Esmeraldas","Esmeraldas","3.0 - 3.9","< 60",1
"845",3.9,6.2,0.72,-80.1,"Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
