"Mag,LocalHour,Lat,Long,Depth,Region,Status,CloserCity,UTCHour,LastUpdate"
"4.6,18-05-2016 3:11,0.40? N,79.93? W,2.8,Near Coast of Ecuador,M,""25.61km Muisne,Esmeraldas"",18-05-2016 8:11,18-05-2016 8:24"
"4.5,18-05-2016 3:19,0.49? N,79.98? W,4.9,Near Coast of Ecuador,M,""14.26km Muisne,Esmeraldas"",18-05-2016 8:19,18-05-2016 8:31"
"4.3,18-05-2016 3:17,0.51? N,79.96? W,5.4,Near Coast of Ecuador,M,""13.16km Muisne,Esmeraldas"",18-05-2016 8:17,18-05-2016 8:57"
"3.9,18-05-2016 3:44,0.40? N,79.87? W,13.4,Near Coast of Ecuador,M,""28.89km Muisne,Esmeraldas"",18-05-2016 8:44,18-05-2016 9:12"
"3.8,18-05-2016 3:51,0.46? N,79.80? W,8.8,Near Coast of Ecuador,M,""29.78km Muisne,Esmeraldas"",18-05-2016 8:51,18-05-2016 9:13"
"4.9,18-05-2016 11:53,0.39? N,79.88? W,9.5,Near Coast of Ecuador,M,""29.20km Muisne,Esmeraldas"",18-05-2016 16:53,18-05-2016 17:04"
"3.9,18-05-2016 12:21,0.33? N,79.85? W,9.5,Ecuador - Esmeraldas,M,""36.31km Pedernales,Manabi"",18-05-2016 17:21,18-05-2016 17:31"
"3.6,18-05-2016 12:54,0.23? N,80.35? W,10,Near Coast of Ecuador,M,""37.52km Pedernales,Manabi"",18-05-2016 17:54,18-05-2016 17:58"
"3.6,18-05-2016 13:18,0.64? N,80.04? W,5.1,Ecuador - Esmeraldas,M,""3.82km Muisne,Esmeraldas"",18-05-2016 18:18,18-05-2016 18:27"
"3.5,18-05-2016 14:23,0.45? N,79.81? W,14.2,Near Coast of Ecuador,M,""29.53km Muisne,Esmeraldas"",18-05-2016 19:23,18-05-2016 20:03"
"4.1,18-05-2016 15:46,0.64? N,80.09? W,2.2,Near Coast of Ecuador,M,""8.33km Muisne,Esmeraldas"",18-05-2016 20:46,18-05-2016 20:51"
"4.8,19-05-2016 2:05,0.64? N,80.16? W,5.4,Near Coast of Ecuador,M,""15.82km Muisne,Esmeraldas"",19-05-2016 7:05,19-05-2016 7:20"
"3.6,19-05-2016 4:43,0.61? N,80.11? W,7.5,Near Coast of Ecuador,M,""9.94km Muisne,Esmeraldas"",19-05-2016 9:43,19-05-2016 9:49"
"3.9,19-05-2016 5:49,0.63? N,80.50? W,3.7,Near Coast of Ecuador,M,""53.35km Muisne,Esmeraldas"",19-05-2016 10:49,19-05-2016 10:53"
